valid_time,u100,v100,u10,v10,d2m,t2m,latitude,longitude
2025-01-10 03:00:00,-3.6017914,-0.5263977,-2.6803894,-0.4554596,289.36627,291.23898,13.0,77.5
2025-01-10 04:00:00,-3.4030151,-0.55311584,-2.6064758,-0.471344,289.42514,292.05493,13.0,77.5
2025-01-10 05:00:00,-3.3646088,-0.1483612,-2.6250305,-0.17320251,289.8653,294.2901,13.0,77.5
2025-01-10 06:00:00,-3.2700958,1.5474548,-2.549057,1.2427673,290.0669,296.9676,13.0,77.5
2025-01-10 07:00:00,-2.7839203,2.6750336,-2.1740265,2.1371765,289.71164,297.71863,13.0,77.5
2025-01-10 08:00:00,-2.526184,3.0143585,-1.9476624,2.3734436,289.68216,298.61957,13.0,77.5
2025-01-10 09:00:00,-2.6885223,3.1713104,-2.0601807,2.4685516,289.35828,298.9757,13.0,77.5
2025-01-10 10:00:00,-3.1544342,3.4600677,-2.3941345,2.6475677,289.98865,298.0258,13.0,77.5
2025-01-10 11:00:00,-3.810196,3.1847382,-2.7918243,2.3439026,290.4787,297.4459,13.0,77.5
2025-01-10 12:00:00,-4.375534,3.09169,-2.899231,2.080597,290.84146,296.9981,13.0,77.5
2025-01-10 13:00:00,-5.235504,3.1424408,-2.891632,1.741394,290.8667,296.45642,13.0,77.5
2025-01-10 14:00:00,-5.890167,2.968521,-3.2174072,1.6315765,290.99823,295.4191,13.0,77.5
2025-01-10 15:00:00,-6.1717834,2.7807007,-3.272873,1.4745026,290.5725,293.87457,13.0,77.5
2025-01-10 16:00:00,-6.057144,2.5042114,-3.1316833,1.2843018,290.97165,293.542,13.0,77.5
2025-01-10 17:00:00,-6.003647,2.2054749,-3.0219116,1.0682373,291.31802,292.81805,13.0,77.5
2025-01-10 18:00:00,-5.9158325,2.2669525,-2.966217,1.0794983,291.47382,292.43732,13.0,77.5
2025-01-10 19:00:00,-5.705948,2.1594086,-2.9406433,1.0310364,291.51245,292.33447,13.0,77.5
2025-01-10 20:00:00,-5.8678284,1.8973694,-3.0917053,0.89682007,291.2635,291.89185,13.0,77.5
2025-01-10 21:00:00,-6.0914154,1.5055695,-3.2295837,0.6944275,291.1978,292.38693,13.0,77.5
2025-01-10 22:00:00,-6.20874,1.6972198,-4.1367188,1.1864319,290.86578,292.2785,13.0,77.5
2025-01-10 23:00:00,-5.660553,1.5419464,-3.602417,0.9753723,290.76593,292.354,13.0,77.5
2025-01-11 00:00:00,-5.2376404,1.4710846,-3.2034607,0.874176,291.1645,293.46555,13.0,77.5
